rank,link,title,rating,year,country,director,genre,poster_url,poster_path
140,https://movie.douban.com/subject/1294240/,教父3,9.0,1990,美国,"弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1990",剧情 犯罪,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,posters\140_教父3.jpg
141,https://movie.douban.com/subject/1297052/,侧耳倾听,8.9,1995,日本,近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna,剧情 爱情 动画,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,posters\141_侧耳倾听.jpg
142,https://movie.douban.com/subject/1307315/,哪吒闹海,9.2,1979,中国大陆,王树忱 Shuchen Wang,冒险 动画 奇幻,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg,posters\142_哪吒闹海.jpg
143,https://movie.douban.com/subject/26799731/,请以你的名字呼唤我,8.8,2017,意大利 法国 巴西 美国,卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer,剧情 爱情 同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,posters\143_请以你的名字呼唤我.jpg
144,https://movie.douban.com/subject/1292274/,幸福终点站,8.8,2004,美国,"史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            2004",喜剧 剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2181698213.jpg,posters\144_幸福终点站.jpg
145,https://movie.douban.com/subject/1297518/,九品芝麻官,8.8,1994,中国香港,王晶 Jing Wong   主演: 周星驰 Stephen Chow,剧情 喜剧 古装,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,posters\145_九品芝麻官.jpg
146,https://movie.douban.com/subject/6307447/,被解救的姜戈,8.8,2012,美国,昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx,剧情 动作 西部 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,posters\146_被解救的姜戈.jpg
147,https://movie.douban.com/subject/25986180/,釜山行,8.6,2016,韩国,延尚昊 Sang-ho Yeon   主演: 孔刘 Yoo Gong,动作 惊悚 灾难,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,posters\147_釜山行.jpg
148,https://movie.douban.com/subject/3287562/,神偷奶爸,8.7,2010,美国 法国,皮艾尔·柯芬 Pierre Coffin,喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,posters\148_神偷奶爸.jpg
149,https://movie.douban.com/subject/25814707/,小森林 冬春篇,9.0,2015,日本,森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg,posters\149_小森林 冬春篇.jpg
150,https://movie.douban.com/subject/1303037/,喜宴,9.0,1993,中国台湾 美国,李安 Ang Lee   主演: 赵文瑄 Winston Chao,剧情 喜剧 爱情 同性 家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,posters\150_喜宴.jpg
151,https://movie.douban.com/subject/5989818/,萤火之森,8.8,2011,日本,大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura,剧情 爱情 动画 奇幻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,posters\151_萤火之森.jpg
152,https://movie.douban.com/subject/4268598/,告白,8.8,2010,日本,中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu,剧情 悬疑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,posters\152_告白.jpg
153,https://movie.douban.com/subject/3072124/,玛丽和麦克斯,9.0,2009,澳大利亚 美国,亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette,剧情 喜剧 动画,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2923412445.jpg,posters\153_玛丽和麦克斯.jpg
154,https://movie.douban.com/subject/1295399/,七武士,9.3,1954,日本,黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune,动作 冒险 剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,posters\154_七武士.jpg
155,https://movie.douban.com/subject/4920389/,头号玩家,8.6,2018,美国,"史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...
                            2018",动作 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,posters\155_头号玩家.jpg
156,https://movie.douban.com/subject/10463953/,模仿游戏,8.8,2014,英国 美国,"莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...
                            2014",剧情 传记 战争 同性,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2922986728.jpg,posters\156_模仿游戏.jpg
157,https://movie.douban.com/subject/1291545/,大鱼,8.8,2003,美国,蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor,剧情 爱情 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,posters\157_大鱼.jpg
158,https://movie.douban.com/subject/1293181/,惊魂记,9.0,1960,美国,"阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...
                            1960",悬疑 惊悚 恐怖,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,posters\158_惊魂记.jpg
159,https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就,8.7,1993,中国香港,刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai,喜剧 奇幻 武侠 古装,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg,posters\159_射雕英雄传之东成西就.jpg
160,https://movie.douban.com/subject/26325320/,血战钢锯岭,8.7,2016,澳大利亚 美国,梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield,剧情 传记 历史 战争,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,posters\160_血战钢锯岭.jpg
161,https://movie.douban.com/subject/26683290/,你的名字。,8.5,2016,日本,新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki,剧情 爱情 动画,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2910701461.jpg,posters\161_你的名字。.jpg
162,https://movie.douban.com/subject/24733428/,心灵奇旅,8.7,2020,美国,彼特·道格特 Pete Docter,动画 奇幻 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.jpg,posters\162_心灵奇旅.jpg
163,https://movie.douban.com/subject/1307856/,背靠背，脸对脸,9.5,1994,中国大陆 中国香港,黄建新 Jianxin Huang,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg,posters\163_背靠背，脸对脸.jpg
164,https://movie.douban.com/subject/1306861/,我是山姆,9.0,2001,美国,杰茜·尼尔森 Jessie Nelson   主演: Sean Penn,剧情 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,posters\164_我是山姆.jpg
165,https://movie.douban.com/subject/4917726/,阳光姐妹淘,8.8,2011,韩国,姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim,剧情 喜剧,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,posters\165_阳光姐妹淘.jpg
166,https://movie.douban.com/subject/21360417/,恐怖直播,8.7,2013,韩国,金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha,剧情 犯罪 悬疑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,posters\166_恐怖直播.jpg
167,https://movie.douban.com/subject/1302467/,黑客帝国3：矩阵革命,8.8,2003,美国,拉娜·沃卓斯基 Lana Wachowski,动作 科幻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,posters\167_黑客帝国3：矩阵革命.jpg
168,https://movie.douban.com/subject/27119724/,小丑,8.7,2019,美国 加拿大,"托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...
                            2019",剧情 犯罪 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,posters\168_小丑.jpg
169,https://movie.douban.com/subject/26611804/,三块广告牌,8.7,2017,英国 美国,"马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...
                            2017",剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.jpg,posters\169_三块广告牌.jpg
170,https://movie.douban.com/subject/1417598/,电锯惊魂,8.7,2004,美国,詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell,悬疑 惊悚 恐怖,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg,posters\170_电锯惊魂.jpg
171,https://movie.douban.com/subject/1578507/,谍影重重3,8.9,2007,美国 德国 法国 英国,保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon,动作 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,posters\171_谍影重重3.jpg
172,https://movie.douban.com/subject/1793929/,达拉斯买家俱乐部,8.8,2013,美国,"让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...
                            2013",剧情 传记 同性,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,posters\172_达拉斯买家俱乐部.jpg
173,https://movie.douban.com/subject/1307106/,无间道2,8.8,2003,中国香港,刘伟强 Andrew Lau,剧情 犯罪 惊悚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,posters\173_无间道2.jpg
174,https://movie.douban.com/subject/1907966/,疯狂原始人,8.7,2013,美国,科克·德·米科 Kirk De Micco,喜剧 动画 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,posters\174_疯狂原始人.jpg
175,https://movie.douban.com/subject/1291992/,末路狂花,9.0,1991,美国 英国 法国,雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis,犯罪 剧情 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg,posters\175_末路狂花.jpg
176,https://movie.douban.com/subject/1422283/,高山下的花环,9.5,1984,(中国大陆),谢晋 Jin Xie   主演: 吕晓禾 Xiaohe Lü,"中国大陆,剧情 战争",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg,posters\176_高山下的花环.jpg
177,https://movie.douban.com/subject/1300374/,绿里奇迹,8.9,1999,美国,弗兰克·德拉邦特 Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks,犯罪 剧情 奇幻 悬疑,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,posters\177_绿里奇迹.jpg
178,https://movie.douban.com/subject/10808442/,爱在午夜降临前,8.9,2013,美国 希腊,"理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            2013",剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,posters\178_爱在午夜降临前.jpg
179,https://movie.douban.com/subject/35426925/,机器人之梦,9.1,2023,西班牙 法国,"巴勃罗·贝格尔 Pablo Berger   主演: 伊万·拉班达 Ivan Labanda
                            2023",剧情 动画 音乐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2928203369.jpg,posters\179_机器人之梦.jpg
180,https://movie.douban.com/subject/25895901/,海街日记,8.8,2015,日本,是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Ayase,剧情 家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,posters\180_海街日记.jpg
181,https://movie.douban.com/subject/1862151/,疯狂的石头,8.6,2006,中国大陆 中国香港,宁浩 Hao Ning   主演: 郭涛 Tao Guo,喜剧 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,posters\181_疯狂的石头.jpg
182,https://movie.douban.com/subject/1293460/,雨中曲,9.1,1952,美国,斯坦利·多南 Stanley Donen,喜剧 歌舞 爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,posters\182_雨中曲.jpg
183,https://movie.douban.com/subject/1291585/,风之谷,8.9,1984,日本,宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto,动画 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,posters\183_风之谷.jpg
184,https://movie.douban.com/subject/1292226/,2001太空漫游,8.9,1968,英国 美国,斯坦利·库布里克 Stanley Kubrick   主演: 凯尔·杜拉 Keir Dullea,科幻 惊悚 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,posters\184_2001太空漫游.jpg
185,https://movie.douban.com/subject/1292208/,上帝之城,9.0,2002,巴西 法国,费尔南多·梅里尔斯 Fernando Meirelles,犯罪 剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,posters\185_上帝之城.jpg
186,https://movie.douban.com/subject/25917973/,心迷宫,8.7,2014,中国大陆,忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo,剧情 犯罪 悬疑,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2926020289.jpg,posters\186_心迷宫.jpg
187,https://movie.douban.com/subject/1297574/,英雄本色,8.6,1986,中国香港,吴宇森 John Woo   主演: 周润发 Yun-Fat Chow,剧情 动作 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,posters\187_英雄本色.jpg
188,https://movie.douban.com/subject/1304447/,记忆碎片,8.7,2000,美国,克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce,犯罪 剧情 悬疑 惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,posters\188_记忆碎片.jpg
189,https://movie.douban.com/subject/1295409/,纵横四海,8.8,1991,中国香港,吴宇森 John Woo   主演: 周润发 Yun-Fat Chow,剧情 喜剧 动作 犯罪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,posters\189_纵横四海.jpg
190,https://movie.douban.com/subject/6534248/,无敌破坏王,8.7,2012,美国,瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly,喜剧 动画 奇幻 冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,posters\190_无敌破坏王.jpg
191,https://movie.douban.com/subject/1291822/,卢旺达饭店,8.9,2004,英国 南非 意大利 美国,特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle,剧情 传记 历史 战争,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,posters\191_卢旺达饭店.jpg
192,https://movie.douban.com/subject/27622447/,小偷家族,8.7,2018,日本,是枝裕和 Hirokazu Koreeda   主演: 中川雅也 Lily Franky,剧情 犯罪 家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,posters\192_小偷家族.jpg
193,https://movie.douban.com/subject/3011051/,恐怖游轮,8.5,2009,英国 澳大利亚,"克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...
                            2009",科幻 悬疑 奇幻 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,posters\193_恐怖游轮.jpg
194,https://movie.douban.com/subject/1310177/,东京教父,9.0,2003,日本,今敏 Satoshi Kon   主演: 江守彻 Toru Emori,剧情 喜剧 动画,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg,posters\194_东京教父.jpg
195,https://movie.douban.com/subject/1291578/,冰川时代,8.7,2002,美国,卡洛斯·沙尔丹哈 Carlos Saldanha,喜剧 动画 冒险,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,posters\195_冰川时代.jpg
196,https://movie.douban.com/subject/1292329/,牯岭街少年杀人事件,8.9,1991,中国台湾,杨德昌 Edward Yang   主演: 张震 Chen Chang,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,posters\196_牯岭街少年杀人事件.jpg
197,https://movie.douban.com/subject/1307811/,魔女宅急便,8.7,1989,日本,宫崎骏 Hayao Miyazaki   主演: 高山南 Minami Takayama,动画 奇幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,posters\197_魔女宅急便.jpg
198,https://movie.douban.com/subject/1297880/,芙蓉镇,9.3,1987,中国大陆,谢晋 Jin Xie   主演: 刘晓庆 Xiaoqing Liu,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575337180.jpg,posters\198_芙蓉镇.jpg
199,https://movie.douban.com/subject/3792799/,岁月神偷,8.7,2010,中国香港 中国大陆,罗启锐 Alex Law   主演: 吴君如 Sandra Ng,剧情 家庭,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,posters\199_岁月神偷.jpg
200,https://movie.douban.com/subject/1959195/,忠犬八公物语,9.2,1987,日本,神山征二郎 Seijirô Kôyama   主演: 仲代达矢 Tatsuya Nakadai,剧情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg,posters\200_忠犬八公物语.jpg
201,https://movie.douban.com/subject/24750126/,荒蛮故事,8.7,2014,阿根廷 西班牙,"达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...
                            2014",剧情 喜剧 犯罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2919686972.jpg,posters\201_荒蛮故事.jpg
202,https://movie.douban.com/subject/1867345/,遗愿清单,8.7,2007,美国,罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson,冒险 喜剧 剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg,posters\202_遗愿清单.jpg
203,https://movie.douban.com/subject/27059130/,大佛普拉斯,8.7,2017,中国台湾,黄信尧 Hsin-yao Huang   主演: 庄益增 Yizeng Zhuang,剧情 喜剧,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,posters\203_大佛普拉斯.jpg
204,https://movie.douban.com/subject/3075287/,源代码,8.6,2011,美国 加拿大,邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal,科幻 悬疑 惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,posters\204_源代码.jpg
205,https://movie.douban.com/subject/3592854/,疯狂的麦克斯4：狂暴之路,8.7,2015,澳大利亚 美国,乔治·米勒 George Miller   主演: 汤姆·哈迪 Tom Hardy,动作 科幻 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,posters\205_疯狂的麦克斯4：狂暴之路.jpg
206,https://movie.douban.com/subject/34874432/,花束般的恋爱,8.6,2021,日本,土井裕泰 Nobuhiro Doi   主演: 菅田将晖 Masaki Suda,剧情 爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg,posters\206_花束般的恋爱.jpg
207,https://movie.douban.com/subject/4848115/,你看起来好像很好吃,8.9,2010,日本,藤森雅也 Masaya Fujimori   主演: 山口胜平 Kappei Yamaguchi,剧情 动画 儿童,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,posters\207_你看起来好像很好吃.jpg
208,https://movie.douban.com/subject/2209573/,贫民窟的百万富翁,8.6,2008,英国,丹尼·鲍尔 Danny Boyle,剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,posters\208_贫民窟的百万富翁.jpg
209,https://movie.douban.com/subject/1308857/,可可西里,8.9,2004,中国大陆 中国香港,陆川 Chuan Lu   主演: 多布杰 Duobujie,剧情 犯罪,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,posters\209_可可西里.jpg
210,https://movie.douban.com/subject/2133323/,白日梦想家,8.6,2013,美国 英国,本·斯蒂勒 Ben Stiller   主演: 本·斯蒂勒 Ben Stiller,剧情 喜剧 冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2893896472.jpg,posters\210_白日梦想家.jpg
211,https://movie.douban.com/subject/1293908/,城市之光,9.3,1931,美国,"查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1931",喜剧 剧情 爱情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,posters\211_城市之光.jpg
